2012-05-02 15:32:20.8997|INFO|FinalVersion.SurfaceWindow1|; 1335972737818 ; afs2 ; A ; 1 ; 2 ; 0 ; 1 ; 1335972740899
2012-05-02 15:32:25.6370|INFO|FinalVersion.SurfaceWindow1|; 1335972742889 ; afs2 ; A ; 1 ; 2 ; 2 ; 1 ; 1335972745637
2012-05-02 15:32:43.4680|INFO|FinalVersion.SurfaceWindow1|; 1335972749889 ; afs2 ; A ; 1 ; 2 ; 1 ; 7 ; 1335972763468
2012-05-02 15:32:58.6129|INFO|FinalVersion.SurfaceWindow1|; 1335972765307 ; afs2 ; A ; 1 ; 2 ; 0 ; 4 ; 1335972778612
2012-05-02 15:33:14.4438|INFO|FinalVersion.SurfaceWindow1|; 1335972780942 ; afs2 ; A ; 1 ; 2 ; 2 ; 4 ; 1335972794442
2012-05-02 15:33:21.2982|INFO|FinalVersion.SurfaceWindow1|; 1335972797458 ; afs2 ; A ; 1 ; 2 ; 1 ; 1 ; 1335972801298
2012-05-02 15:33:32.3858|INFO|FinalVersion.SurfaceWindow1|; 1335972806346 ; afs2 ; A ; 1 ; 2 ; 0 ; 3 ; 1335972812385
2012-05-02 15:33:39.7782|INFO|FinalVersion.SurfaceWindow1|; 1335972814120 ; afs2 ; A ; 1 ; 2 ; 2 ; 4 ; 1335972819778
2012-05-02 15:35:30.3406|INFO|FinalVersion.SurfaceWindow1|; 1335972868855 ; afs2 ; A ; 2 ; 2 ; 1 ; 0 ; 1335972930340
2012-05-02 15:35:58.5652|INFO|FinalVersion.SurfaceWindow1|; 1335972933475 ; afs2 ; A ; 2 ; 2 ; 0 ; 0 ; 1335972958565
2012-05-02 15:37:30.9065|INFO|FinalVersion.SurfaceWindow1|; 1335972962336 ; afs2 ; A ; 2 ; 2 ; 2 ; 0 ; 1335973050906
